,name,dist,time,type,vid,dist_cost,time_cost,vehicle_cost,cost
0,Articulated01,193,386,ar,01,169.5505,199.4462,200000,200368.9967
1,Articulated02,333,636,ar,02,292.5405,328.62120000000004,200000,200621.1617
2,Articulated03,85,297,ar,03,74.6725,153.4599,200000,200228.1324
3,Articulated04,74,308,ar,04,65.009,159.14360000000002,200000,200224.1526
4,Articulated05,60,192,ar,05,52.709999999999994,99.2064,200000,200151.9164
5,Articulated06,60,192,ar,06,52.709999999999994,99.2064,200000,200151.9164
6,Articulated91,504,649,ar,91,442.76399999999995,335.3383,200000,200778.1023
7,Large Rigid01,206,432,lr,01,111.24000000000001,223.2144,90000,90334.4544
8,Small Rigid03,212,315,sr,03,71.232,162.7605,70000,70233.9925
9,Small Rigid91,591,613,sr,91,198.57600000000002,316.73710000000005,70000,70515.3131
10,Small Rigid92,564,586,sr,92,189.50400000000002,302.7862,70000,70492.2902
